evaluation,model,metric,mean,std,n_seeds,mean_std
temporal,M2_plus_trajectory,lift@20%,2.1798,0.17376046731060557,5,2.1798 ± 0.1738
temporal,M3_plus_contextual,lift@20%,2.2256,0.27598061526128953,5,2.2256 ± 0.2760
grouped,M1_snapshot,precision,0.2125,0.047481733329776406,5,0.2125 ± 0.0475
grouped,M2_plus_trajectory,precision,0.25,0.06908378970496624,5,0.2500 ± 0.0691
grouped,M3_plus_contextual,precision,0.2375,0.060005791387165296,5,0.2375 ± 0.0600
temporal,M1_snapshot,precision,0.23769999999999997,0.03962467665483216,5,0.2377 ± 0.0396
temporal,M2_plus_trajectory,precision,0.29134000000000004,0.016118405628349222,5,0.2913 ± 0.0161
temporal,M3_plus_contextual,precision,0.29786,0.03748750458486135,5,0.2979 ± 0.0375
grouped,M1_snapshot,recall,0.41244,0.0655307027278054,5,0.4124 ± 0.0655
grouped,M2_plus_trajectory,recall,0.4821,0.09938510954866428,5,0.4821 ± 0.0994
grouped,M3_plus_contextual,recall,0.45896,0.08202699555634106,5,0.4590 ± 0.0820
temporal,M1_snapshot,recall,0.35372,0.04746395474462703,5,0.3537 ± 0.0475
temporal,M2_plus_trajectory,recall,0.43582,0.03445833716243427,5,0.4358 ± 0.0345
temporal,M3_plus_contextual,recall,0.44489999999999996,0.054998499979544875,5,0.4449 ± 0.0550
grouped,M1_snapshot,f1,0.27902,0.05302340992429666,5,0.2790 ± 0.0530
grouped,M2_plus_trajectory,f1,0.32774000000000003,0.08183805960554048,5,0.3277 ± 0.0818
grouped,M3_plus_contextual,f1,0.31152,0.06944157256283875,5,0.3115 ± 0.0694
temporal,M1_snapshot,f1,0.28418,0.04324773982533653,5,0.2842 ± 0.0432
temporal,M2_plus_trajectory,f1,0.34904,0.021130026029326135,5,0.3490 ± 0.0211
temporal,M3_plus_contextual,f1,0.35662000000000005,0.04333603581316594,5,0.3566 ± 0.0433
grouped,M1_snapshot,raw_brier,0.09481999999999999,0.010909491280531829,5,0.0948 ± 0.0109
grouped,M2_plus_trajectory,raw_brier,0.09418,0.009916501399183084,5,0.0942 ± 0.0099
grouped,M3_plus_contextual,raw_brier,0.09387999999999999,0.010693783240743195,5,0.0939 ± 0.0107
temporal,M1_snapshot,raw_brier,0.11761999999999999,0.005011686342938875,5,0.1176 ± 0.0050
temporal,M2_plus_trajectory,raw_brier,0.11642000000000001,0.00536069025406244,5,0.1164 ± 0.0054
temporal,M3_plus_contextual,raw_brier,0.11668,0.004540594674709468,5,0.1167 ± 0.0045
