evaluation,scenario,perturbation_kind,perturbation_level,metric,mean,std,n_seeds,mean_std
grouped,length_noise_sigma_1_0cm,length_noise_cm,1.0,recall@20%,0.42132,0.06107206399001102,5,0.4213 ± 0.0611
grouped,length_noise_sigma_2_0cm,length_noise_cm,2.0,recall@20%,0.32134,0.1352903839894026,5,0.3213 ± 0.1353
grouped,length_missing_plus_10pct,length_missing_fraction,0.1,recall@20%,0.45586000000000004,0.09752598628058062,5,0.4559 ± 0.0975
grouped,length_missing_plus_20pct,length_missing_fraction,0.2,recall@20%,0.41050000000000003,0.10947351277820584,5,0.4105 ± 0.1095
grouped,length_missing_plus_30pct,length_missing_fraction,0.3,recall@20%,0.48086,0.11573749608489027,5,0.4809 ± 0.1157
grouped,current_measurement_missing,current_measurement_missing,1.0,recall@20%,0.25274,0.13150894646372924,5,0.2527 ± 0.1315
temporal,baseline,none,0.0,recall@20%,0.43582,0.03445833716243427,5,0.4358 ± 0.0345
temporal,length_noise_sigma_0_5cm,length_noise_cm,0.5,recall@20%,0.40415999999999996,0.0405371804643589,5,0.4042 ± 0.0405
temporal,length_noise_sigma_1_0cm,length_noise_cm,1.0,recall@20%,0.33877999999999997,0.048328325027875735,5,0.3388 ± 0.0483
temporal,length_noise_sigma_2_0cm,length_noise_cm,2.0,recall@20%,0.28018,0.04476289758270794,5,0.2802 ± 0.0448
temporal,length_missing_plus_10pct,length_missing_fraction,0.1,recall@20%,0.42144000000000004,0.04081241232762407,5,0.4214 ± 0.0408
temporal,length_missing_plus_20pct,length_missing_fraction,0.2,recall@20%,0.40284000000000003,0.04799701032356076,5,0.4028 ± 0.0480
temporal,length_missing_plus_30pct,length_missing_fraction,0.3,recall@20%,0.35985999999999996,0.057462013539380935,5,0.3599 ± 0.0575
temporal,current_measurement_missing,current_measurement_missing,1.0,recall@20%,0.30494000000000004,0.07197050090141098,5,0.3049 ± 0.0720
grouped,baseline,none,0.0,precision@5%,0.31667999999999996,0.19896398417804162,5,0.3167 ± 0.1990
grouped,length_noise_sigma_0_5cm,length_noise_cm,0.5,precision@5%,0.4,0.22360679774997896,5,0.4000 ± 0.2236
grouped,length_noise_sigma_1_0cm,length_noise_cm,1.0,precision@5%,0.26666,0.09125057808036066,5,0.2667 ± 0.0913
grouped,length_noise_sigma_2_0cm,length_noise_cm,2.0,precision@5%,0.11667999999999998,0.07455609968339277,5,0.1167 ± 0.0746
grouped,length_missing_plus_10pct,length_missing_fraction,0.1,precision@5%,0.34998,0.13691846844016337,5,0.3500 ± 0.1369
grouped,length_missing_plus_20pct,length_missing_fraction,0.2,precision@5%,0.35,0.19003654911621606,5,0.3500 ± 0.1900
grouped,length_missing_plus_30pct,length_missing_fraction,0.3,precision@5%,0.26666,0.16029573606306563,5,0.2667 ± 0.1603
grouped,current_measurement_missing,current_measurement_missing,1.0,precision@5%,0.21668000000000004,0.1513907758088319,5,0.2167 ± 0.1514
temporal,baseline,none,0.0,precision@5%,0.43592000000000003,0.030260898863054254,5,0.4359 ± 0.0303
temporal,length_noise_sigma_0_5cm,length_noise_cm,0.5,precision@5%,0.36819999999999997,0.07086314274712914,5,0.3682 ± 0.0709
temporal,length_noise_sigma_1_0cm,length_noise_cm,1.0,precision@5%,0.30044,0.05186070766967996,5,0.3004 ± 0.0519
temporal,length_noise_sigma_2_0cm,length_noise_cm,2.0,precision@5%,0.25934,0.035567724132983265,5,0.2593 ± 0.0356
temporal,length_missing_plus_10pct,length_missing_fraction,0.1,precision@5%,0.43948,0.05612955549440954,5,0.4395 ± 0.0561
temporal,length_missing_plus_20pct,length_missing_fraction,0.2,precision@5%,0.3685,0.054790829524656755,5,0.3685 ± 0.0548
temporal,length_missing_plus_30pct,length_missing_fraction,0.3,precision@5%,0.34992,0.08184529308396421,5,0.3499 ± 0.0818
temporal,current_measurement_missing,current_measurement_missing,1.0,precision@5%,0.24074,0.09785948088969203,5,0.2407 ± 0.0979
grouped,baseline,none,0.0,precision@10%,0.275,0.13370261777541978,5,0.2750 ± 0.1337
grouped,length_noise_sigma_0_5cm,length_noise_cm,0.5,precision@10%,0.3,0.14849710434887273,5,0.3000 ± 0.1485
grouped,length_noise_sigma_1_0cm,length_noise_cm,1.0,precision@10%,0.25,0.0417,5,0.2500 ± 0.0417
grouped,length_noise_sigma_2_0cm,length_noise_cm,2.0,precision@10%,0.175,0.03484092421277026,5,0.1750 ± 0.0348
grouped,length_missing_plus_10pct,length_missing_fraction,0.1,precision@10%,0.27502000000000004,0.09593545747011374,5,0.2750 ± 0.0959
grouped,length_missing_plus_20pct,length_missing_fraction,0.2,precision@10%,0.26666,0.12359600721706182,5,0.2667 ± 0.1236
grouped,length_missing_plus_30pct,length_missing_fraction,0.3,precision@10%,0.225,0.10865976716338022,5,0.2250 ± 0.1087
grouped,current_measurement_missing,current_measurement_missing,1.0,precision@10%,0.14998,0.09127111810425027,5,0.1500 ± 0.0913
temporal,baseline,none,0.0,precision@10%,0.34398,0.06501370624722143,5,0.3440 ± 0.0650
temporal,length_noise_sigma_0_5cm,length_noise_cm,0.5,precision@10%,0.30448,0.04183457899871829,5,0.3045 ± 0.0418
temporal,length_noise_sigma_1_0cm,length_noise_cm,1.0,precision@10%,0.26084,0.05430688722436594,5,0.2608 ± 0.0543
