evaluation,scenario,perturbation_kind,perturbation_level,metric,mean,std,n_seeds,mean_std
temporal,length_missing_plus_10pct,length_missing_fraction,0.1,delta_auprc,-0.0043999999999999925,0.008843924468243726,5,-0.0044 ± 0.0088
temporal,length_missing_plus_20pct,length_missing_fraction,0.2,delta_auprc,-0.023339999999999982,0.01389722993981175,5,-0.0233 ± 0.0139
temporal,length_missing_plus_30pct,length_missing_fraction,0.3,delta_auprc,-0.04993999999999999,0.021063546709896696,5,-0.0499 ± 0.0211
temporal,current_measurement_missing,current_measurement_missing,1.0,delta_auprc,-0.09595999999999998,0.047551792815833986,5,-0.0960 ± 0.0476
grouped,baseline,none,0.0,delta_recall@20%,0.0,0.0,5,0.0000 ± 0.0000
grouped,length_noise_sigma_0_5cm,length_noise_cm,0.5,delta_recall@20%,0.03384000000000002,0.06893876268109256,5,0.0338 ± 0.0689
grouped,length_noise_sigma_1_0cm,length_noise_cm,1.0,delta_recall@20%,-0.06078,0.1081905818451865,5,-0.0608 ± 0.1082
grouped,length_noise_sigma_2_0cm,length_noise_cm,2.0,delta_recall@20%,-0.16075999999999996,0.1230324672596628,5,-0.1608 ± 0.1230
grouped,length_missing_plus_10pct,length_missing_fraction,0.1,delta_recall@20%,-0.026239999999999986,0.025060187549178468,5,-0.0262 ± 0.0251
grouped,length_missing_plus_20pct,length_missing_fraction,0.2,delta_recall@20%,-0.0716,0.07351992927091267,5,-0.0716 ± 0.0735
grouped,length_missing_plus_30pct,length_missing_fraction,0.3,delta_recall@20%,-0.0012399999999999855,0.09660708048585258,5,-0.0012 ± 0.0966
grouped,current_measurement_missing,current_measurement_missing,1.0,delta_recall@20%,-0.22936,0.18930177759334432,5,-0.2294 ± 0.1893
temporal,baseline,none,0.0,delta_recall@20%,0.0,0.0,5,0.0000 ± 0.0000
temporal,length_noise_sigma_0_5cm,length_noise_cm,0.5,delta_recall@20%,-0.03166,0.024230002063557483,5,-0.0317 ± 0.0242
temporal,length_noise_sigma_1_0cm,length_noise_cm,1.0,delta_recall@20%,-0.09704,0.0419356411659581,5,-0.0970 ± 0.0419
temporal,length_noise_sigma_2_0cm,length_noise_cm,2.0,delta_recall@20%,-0.15564,0.07437283106081143,5,-0.1556 ± 0.0744
temporal,length_missing_plus_10pct,length_missing_fraction,0.1,delta_recall@20%,-0.014379999999999993,0.020839193842373073,5,-0.0144 ± 0.0208
temporal,length_missing_plus_20pct,length_missing_fraction,0.2,delta_recall@20%,-0.032979999999999995,0.025913645054295227,5,-0.0330 ± 0.0259
temporal,length_missing_plus_30pct,length_missing_fraction,0.3,delta_recall@20%,-0.07596000000000001,0.029621579971365476,5,-0.0760 ± 0.0296
temporal,current_measurement_missing,current_measurement_missing,1.0,delta_recall@20%,-0.13088,0.07130046984417424,5,-0.1309 ± 0.0713
grouped,baseline,none,0.0,delta_precision@20%,0.0,0.0,5,0.0000 ± 0.0000
grouped,length_noise_sigma_0_5cm,length_noise_cm,0.5,delta_precision@20%,0.01668000000000001,0.037255697550844485,5,0.0167 ± 0.0373
grouped,length_noise_sigma_1_0cm,length_noise_cm,1.0,delta_precision@20%,-0.033339999999999995,0.06001273198247186,5,-0.0333 ± 0.0600
grouped,length_noise_sigma_2_0cm,length_noise_cm,2.0,delta_precision@20%,-0.08331999999999999,0.0706394507339914,5,-0.0833 ± 0.0706
grouped,length_missing_plus_10pct,length_missing_fraction,0.1,delta_precision@20%,-0.012499999999999989,0.011410959644131592,5,-0.0125 ± 0.0114
grouped,length_missing_plus_20pct,length_missing_fraction,0.2,delta_precision@20%,-0.033319999999999995,0.03159093224328779,5,-0.0333 ± 0.0316
grouped,length_missing_plus_30pct,length_missing_fraction,0.3,delta_precision@20%,-0.004159999999999992,0.04748613481849203,5,-0.0042 ± 0.0475
grouped,current_measurement_missing,current_measurement_missing,1.0,delta_precision@20%,-0.1125,0.09155107863919462,5,-0.1125 ± 0.0916
temporal,baseline,none,0.0,delta_precision@20%,0.0,0.0,5,0.0000 ± 0.0000
temporal,length_noise_sigma_0_5cm,length_noise_cm,0.5,delta_precision@20%,-0.02158000000000001,0.017287770243730103,5,-0.0216 ± 0.0173
temporal,length_noise_sigma_1_0cm,length_noise_cm,1.0,delta_precision@20%,-0.06404000000000001,0.027044740708684938,5,-0.0640 ± 0.0270
temporal,length_noise_sigma_2_0cm,length_noise_cm,2.0,delta_precision@20%,-0.10338000000000003,0.045699912472563886,5,-0.1034 ± 0.0457
temporal,length_missing_plus_10pct,length_missing_fraction,0.1,delta_precision@20%,-0.009480000000000011,0.013925947005500218,5,-0.0095 ± 0.0139
temporal,length_missing_plus_20pct,length_missing_fraction,0.2,delta_precision@20%,-0.022540000000000004,0.018587172996451073,5,-0.0225 ± 0.0186
temporal,length_missing_plus_30pct,length_missing_fraction,0.3,delta_precision@20%,-0.05160000000000002,0.022385039647049996,5,-0.0516 ± 0.0224
temporal,current_measurement_missing,current_measurement_missing,1.0,delta_precision@20%,-0.08762000000000002,0.04772600968025717,5,-0.0876 ± 0.0477
grouped,baseline,none,0.0,delta_lift@20%,0.0,0.0,5,0.0000 ± 0.0000
grouped,length_noise_sigma_0_5cm,length_noise_cm,0.5,delta_lift@20%,0.16939999999999986,0.3447155348979794,5,0.1694 ± 0.3447
grouped,length_noise_sigma_1_0cm,length_noise_cm,1.0,delta_lift@20%,-0.3038,0.5407663081220945,5,-0.3038 ± 0.5408
grouped,length_noise_sigma_2_0cm,length_noise_cm,2.0,delta_lift@20%,-0.8038000000000001,0.615162336298314,5,-0.8038 ± 0.6152
grouped,length_missing_plus_10pct,length_missing_fraction,0.1,delta_lift@20%,-0.13120000000000012,0.12540015948953182,5,-0.1312 ± 0.1254
grouped,length_missing_plus_20pct,length_missing_fraction,0.2,delta_lift@20%,-0.35800000000000004,0.36759964635456327,5,-0.3580 ± 0.3676
grouped,length_missing_plus_30pct,length_missing_fraction,0.3,delta_lift@20%,-0.0062000000000000275,0.483035402429263,5,-0.0062 ± 0.4830
grouped,current_measurement_missing,current_measurement_missing,1.0,delta_lift@20%,-1.1468,0.946418089429825,5,-1.1468 ± 0.9464
temporal,baseline,none,0.0,delta_lift@20%,0.0,0.0,5,0.0000 ± 0.0000
temporal,length_noise_sigma_0_5cm,length_noise_cm,0.5,delta_lift@20%,-0.15860000000000002,0.12136844729994697,5,-0.1586 ± 0.1214
temporal,length_noise_sigma_1_0cm,length_noise_cm,1.0,delta_lift@20%,-0.48519999999999996,0.21022059841985044,5,-0.4852 ± 0.2102
temporal,length_noise_sigma_2_0cm,length_noise_cm,2.0,delta_lift@20%,-0.7786000000000001,0.37305468767997013,5,-0.7786 ± 0.3731
temporal,length_missing_plus_10pct,length_missing_fraction,0.1,delta_lift@20%,-0.07180000000000004,0.1041930899820138,5,-0.0718 ± 0.1042
temporal,length_missing_plus_20pct,length_missing_fraction,0.2,delta_lift@20%,-0.16500000000000004,0.12992497835289418,5,-0.1650 ± 0.1299
temporal,length_missing_plus_30pct,length_missing_fraction,0.3,delta_lift@20%,-0.37960000000000005,0.14770849670888928,5,-0.3796 ± 0.1477
temporal,current_measurement_missing,current_measurement_missing,1.0,delta_lift@20%,-0.6548,0.35744747865945303,5,-0.6548 ± 0.3574
