evaluation,model,metric,mean,std,n_seeds,mean_std
grouped,M3_plus_contextual,recall@10%,0.26666,0.02234609585587604,5,0.2667 ± 0.0223
temporal,B0_haz_only,recall@10%,0.13698000000000002,0.02223818787581398,5,0.1370 ± 0.0222
temporal,B1_haz_slope,recall@10%,0.16794,0.05118347389538931,5,0.1679 ± 0.0512
temporal,B2_logreg,recall@10%,0.13613999999999998,0.018980068493027094,5,0.1361 ± 0.0190
temporal,M1_snapshot,recall@10%,0.21996000000000002,0.027679468925541184,5,0.2200 ± 0.0277
temporal,M2_plus_trajectory,recall@10%,0.25732,0.051506378245805666,5,0.2573 ± 0.0515
temporal,M3_plus_contextual,recall@10%,0.26238,0.027950169945816075,5,0.2624 ± 0.0280
grouped,B0_haz_only,precision@10%,0.11667999999999998,0.054335642077737514,5,0.1167 ± 0.0543
grouped,B1_haz_slope,precision@10%,0.14165999999999998,0.04751024100128309,5,0.1417 ± 0.0475
grouped,B2_logreg,precision@10%,0.16666,0.041650006002400534,5,0.1667 ± 0.0417
grouped,M1_snapshot,precision@10%,0.24165999999999999,0.061783679074655304,5,0.2417 ± 0.0618
grouped,M2_plus_trajectory,precision@10%,0.275,0.13370261777541978,5,0.2750 ± 0.1337
grouped,M3_plus_contextual,precision@10%,0.275,0.047514629326134906,5,0.2750 ± 0.0475
temporal,B0_haz_only,precision@10%,0.18392,0.03492938590928848,5,0.1839 ± 0.0349
temporal,B1_haz_slope,precision@10%,0.22676,0.07810238792764278,5,0.2268 ± 0.0781
temporal,B2_logreg,precision@10%,0.18236,0.026430058645413566,5,0.1824 ± 0.0264
temporal,M1_snapshot,precision@10%,0.29510000000000003,0.04303039623336045,5,0.2951 ± 0.0430
temporal,M2_plus_trajectory,precision@10%,0.34398,0.06501370624722143,5,0.3440 ± 0.0650
temporal,M3_plus_contextual,precision@10%,0.35136,0.0394411967364075,5,0.3514 ± 0.0394
grouped,B0_haz_only,lift@10%,1.1434000000000002,0.4961645896272728,5,1.1434 ± 0.4962
grouped,B1_haz_slope,lift@10%,1.3634,0.391197264816614,5,1.3634 ± 0.3912
grouped,B2_logreg,lift@10%,1.6225999999999998,0.33526452242967797,5,1.6226 ± 0.3353
grouped,M1_snapshot,lift@10%,2.3924,0.7281392723923081,5,2.3924 ± 0.7281
grouped,M2_plus_trajectory,lift@10%,2.5872,1.0339534322202328,5,2.5872 ± 1.0340
grouped,M3_plus_contextual,lift@10%,2.6666,0.2234609585587603,5,2.6666 ± 0.2235
temporal,B0_haz_only,lift@10%,1.3699999999999999,0.22037014316826134,5,1.3700 ± 0.2204
temporal,B1_haz_slope,lift@10%,1.6792000000000002,0.5076078210587383,5,1.6792 ± 0.5076
temporal,B2_logreg,lift@10%,1.362,0.19023275217480295,5,1.3620 ± 0.1902
temporal,M1_snapshot,lift@10%,2.2006,0.27861676187910867,5,2.2006 ± 0.2786
temporal,M2_plus_trajectory,lift@10%,2.5745999999999998,0.5180654398818745,5,2.5746 ± 0.5181
temporal,M3_plus_contextual,lift@10%,2.625,0.28109962646720105,5,2.6250 ± 0.2811
grouped,B0_haz_only,recall@20%,0.20962,0.10021268382794662,5,0.2096 ± 0.1002
grouped,B1_haz_slope,recall@20%,0.29892,0.09674407992223608,5,0.2989 ± 0.0967
grouped,B2_logreg,recall@20%,0.27405999999999997,0.03635227640739986,5,0.2741 ± 0.0364
grouped,M1_snapshot,recall@20%,0.41244,0.0655307027278054,5,0.4124 ± 0.0655
grouped,M2_plus_trajectory,recall@20%,0.4821,0.09938510954866428,5,0.4821 ± 0.0994
grouped,M3_plus_contextual,recall@20%,0.45896,0.08202699555634106,5,0.4590 ± 0.0820
temporal,B0_haz_only,recall@20%,0.24934000000000003,0.040277326127735935,5,0.2493 ± 0.0403
temporal,B1_haz_slope,recall@20%,0.30802,0.08388937358211707,5,0.3080 ± 0.0839
temporal,B2_logreg,recall@20%,0.24068,0.03396456977498758,5,0.2407 ± 0.0340
temporal,M1_snapshot,recall@20%,0.35372,0.04746395474462703,5,0.3537 ± 0.0475
temporal,M2_plus_trajectory,recall@20%,0.43582,0.03445833716243427,5,0.4358 ± 0.0345
temporal,M3_plus_contextual,recall@20%,0.44489999999999996,0.054998499979544875,5,0.4449 ± 0.0550
grouped,B0_haz_only,precision@20%,0.10418000000000001,0.04658848570194141,5,0.1042 ± 0.0466
grouped,B1_haz_slope,precision@20%,0.15,0.040056397741184864,5,0.1500 ± 0.0401
grouped,B2_logreg,precision@20%,0.14166,0.030888476815796536,5,0.1417 ± 0.0309
grouped,M1_snapshot,precision@20%,0.2125,0.047481733329776406,5,0.2125 ± 0.0475
grouped,M2_plus_trajectory,precision@20%,0.25,0.06908378970496624,5,0.2500 ± 0.0691
grouped,M3_plus_contextual,precision@20%,0.2375,0.060005791387165296,5,0.2375 ± 0.0600
temporal,B0_haz_only,precision@20%,0.16804000000000002,0.0364656413627952,5,0.1680 ± 0.0365
temporal,B1_haz_slope,precision@20%,0.20822000000000002,0.0663686447051618,5,0.2082 ± 0.0664
temporal,B2_logreg,precision@20%,0.16084,0.020424935740412986,5,0.1608 ± 0.0204
temporal,M1_snapshot,precision@20%,0.23769999999999997,0.03962467665483216,5,0.2377 ± 0.0396
temporal,M2_plus_trajectory,precision@20%,0.29134000000000004,0.016118405628349222,5,0.2913 ± 0.0161
temporal,M3_plus_contextual,precision@20%,0.29786,0.03748750458486135,5,0.2979 ± 0.0375
grouped,B0_haz_only,lift@20%,1.0482,0.5009867263710687,5,1.0482 ± 0.5010
grouped,B1_haz_slope,lift@20%,1.4944,0.4836075888569161,5,1.4944 ± 0.4836
grouped,B2_logreg,lift@20%,1.3704,0.18196510654518352,5,1.3704 ± 0.1820
grouped,M1_snapshot,lift@20%,2.0620000000000003,0.3277216806987295,5,2.0620 ± 0.3277
grouped,M2_plus_trajectory,lift@20%,2.4104,0.49694798520569533,5,2.4104 ± 0.4969
grouped,M3_plus_contextual,lift@20%,2.2948,0.41013497778170543,5,2.2948 ± 0.4101
temporal,B0_haz_only,lift@20%,1.2471999999999999,0.20171688080078978,5,1.2472 ± 0.2017
temporal,B1_haz_slope,lift@20%,1.5404,0.41863325238208204,5,1.5404 ± 0.4186
temporal,B2_logreg,lift@20%,1.204,0.17042300314218153,5,1.2040 ± 0.1704
temporal,M1_snapshot,lift@20%,1.7692,0.23676824111354128,5,1.7692 ± 0.2368
temporal,M2_plus_trajectory,lift@20%,2.1798,0.17376046731060557,5,2.1798 ± 0.1738
temporal,M3_plus_contextual,lift@20%,2.2256,0.27598061526128953,5,2.2256 ± 0.2760
grouped,B0_haz_only,precision,0.10418000000000001,0.04658848570194141,5,0.1042 ± 0.0466
grouped,B1_haz_slope,precision,0.15,0.040056397741184864,5,0.1500 ± 0.0401
grouped,B2_logreg,precision,0.14166,0.030888476815796536,5,0.1417 ± 0.0309
grouped,M1_snapshot,precision,0.2125,0.047481733329776406,5,0.2125 ± 0.0475
grouped,M2_plus_trajectory,precision,0.25,0.06908378970496624,5,0.2500 ± 0.0691
grouped,M3_plus_contextual,precision,0.2375,0.060005791387165296,5,0.2375 ± 0.0600
temporal,B0_haz_only,precision,0.16804000000000002,0.0364656413627952,5,0.1680 ± 0.0365
temporal,B1_haz_slope,precision,0.20822000000000002,0.0663686447051618,5,0.2082 ± 0.0664
temporal,B2_logreg,precision,0.16084,0.020424935740412986,5,0.1608 ± 0.0204
temporal,M1_snapshot,precision,0.23769999999999997,0.03962467665483216,5,0.2377 ± 0.0396
temporal,M2_plus_trajectory,precision,0.29134000000000004,0.016118405628349222,5,0.2913 ± 0.0161
temporal,M3_plus_contextual,precision,0.29786,0.03748750458486135,5,0.2979 ± 0.0375
grouped,B0_haz_only,recall,0.20962,0.10021268382794662,5,0.2096 ± 0.1002
grouped,B1_haz_slope,recall,0.29892,0.09674407992223608,5,0.2989 ± 0.0967
grouped,B2_logreg,recall,0.27405999999999997,0.03635227640739986,5,0.2741 ± 0.0364
grouped,M1_snapshot,recall,0.41244,0.0655307027278054,5,0.4124 ± 0.0655
grouped,M2_plus_trajectory,recall,0.4821,0.09938510954866428,5,0.4821 ± 0.0994
grouped,M3_plus_contextual,recall,0.45896,0.08202699555634106,5,0.4590 ± 0.0820
temporal,B0_haz_only,recall,0.24934000000000003,0.040277326127735935,5,0.2493 ± 0.0403
temporal,B1_haz_slope,recall,0.30802,0.08388937358211707,5,0.3080 ± 0.0839
temporal,B2_logreg,recall,0.24068,0.03396456977498758,5,0.2407 ± 0.0340
temporal,M1_snapshot,recall,0.35372,0.04746395474462703,5,0.3537 ± 0.0475
temporal,M2_plus_trajectory,recall,0.43582,0.03445833716243427,5,0.4358 ± 0.0345
temporal,M3_plus_contextual,recall,0.44489999999999996,0.054998499979544875,5,0.4449 ± 0.0550
grouped,B0_haz_only,f1,0.13844,0.06251642184258469,5,0.1384 ± 0.0625
grouped,B1_haz_slope,f1,0.19864,0.05453772089114103,5,0.1986 ± 0.0545
grouped,B2_logreg,f1,0.18586,0.033860714700076844,5,0.1859 ± 0.0339
grouped,M1_snapshot,f1,0.27902,0.05302340992429666,5,0.2790 ± 0.0530
grouped,M2_plus_trajectory,f1,0.32774000000000003,0.08183805960554048,5,0.3277 ± 0.0818
grouped,M3_plus_contextual,f1,0.31152,0.06944157256283875,5,0.3115 ± 0.0694
temporal,B0_haz_only,f1,0.20066,0.03887277967935918,5,0.2007 ± 0.0389
temporal,B1_haz_slope,f1,0.24834,0.07432081135186833,5,0.2483 ± 0.0743
temporal,B2_logreg,f1,0.19276,0.02525456394396862,5,0.1928 ± 0.0253
temporal,M1_snapshot,f1,0.28418,0.04324773982533653,5,0.2842 ± 0.0432
temporal,M2_plus_trajectory,f1,0.34904,0.021130026029326135,5,0.3490 ± 0.0211
temporal,M3_plus_contextual,f1,0.35662000000000005,0.04333603581316594,5,0.3566 ± 0.0433
grouped,B2_logreg,raw_brier,0.2041,0.012664319958055396,5,0.2041 ± 0.0127
grouped,M1_snapshot,raw_brier,0.09481999999999999,0.010909491280531829,5,0.0948 ± 0.0109
grouped,M2_plus_trajectory,raw_brier,0.09418,0.009916501399183084,5,0.0942 ± 0.0099
grouped,M3_plus_contextual,raw_brier,0.09387999999999999,0.010693783240743195,5,0.0939 ± 0.0107
temporal,B2_logreg,raw_brier,0.24134000000000003,0.020631359625579698,5,0.2413 ± 0.0206
temporal,M1_snapshot,raw_brier,0.11761999999999999,0.005011686342938875,5,0.1176 ± 0.0050
temporal,M2_plus_trajectory,raw_brier,0.11642000000000001,0.00536069025406244,5,0.1164 ± 0.0054
temporal,M3_plus_contextual,raw_brier,0.11668,0.004540594674709468,5,0.1167 ± 0.0045
